Ticker,Shares,Buy Price,Stop Loss,Take Profit
BTC-USD,0.01,80113.3984375,76107.728515625,88124.73828125
BTC-USD,0.01,80124.4921875,76118.267578125,88136.94140625
AAPL,0.01,292.7898864746094,278.1503921508789,322.0688751220703
NVDA,0.01,216.31500244140625,205.499252319336,237.9465026855469
TSLA,0.01,428.3500061035156,406.93250579833983,471.1850067138672
TSLA,0.01,428.3500061035156,406.93250579833983,471.1850067138672
BTC-USD,0.01,80104.703125,76099.46796875,88115.17343750001
TSLA,0.01,428.3500061035156,406.93250579833983,471.1850067138672
TSLA,0.01,428.3500061035156,406.93250579833983,471.1850067138672
TSLA,0.01,428.3500061035156,406.93250579833983,471.1850067138672
TSLA,0.01,428.3500061035156,406.93250579833983,471.1850067138672
TSLA,0.01,428.3500061035156,406.93250579833983,471.1850067138672
